epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,5789.04,1.20717,0.80032,1.32918,0.8143,0.75161,0.76838,0.48051,1.31343,0.87553,1.58128,0.0048916,0.0048916,0.0048916
131,5833.25,1.19487,0.78406,1.31324,0.80303,0.76488,0.76806,0.47572,1.31289,0.88204,1.58537,0.004852,0.004852,0.004852
132,5877.42,1.193,0.79419,1.31188,0.79633,0.76553,0.77415,0.48283,1.30826,0.8813,1.58119,0.0048124,0.0048124,0.0048124
133,5921.61,1.19643,0.79002,1.31268,0.8093,0.75896,0.77579,0.48427,1.31554,0.8718,1.59129,0.0047728,0.0047728,0.0047728
134,5965.75,1.17516,0.78194,1.29157,0.8022,0.77273,0.78134,0.48718,1.30045,0.86804,1.57431,0.0047332,0.0047332,0.0047332
135,6009.94,1.16497,0.75912,1.28971,0.82324,0.76505,0.78295,0.48496,1.30043,0.87791,1.57315,0.0046936,0.0046936,0.0046936
136,6054.13,1.164,0.76194,1.29304,0.8186,0.76224,0.78126,0.49049,1.29481,0.86557,1.56906,0.004654,0.004654,0.004654
137,6098.32,1.16995,0.7798,1.29011,0.80432,0.77791,0.78624,0.48978,1.28415,0.86397,1.57278,0.0046144,0.0046144,0.0046144
138,6142.49,1.16223,0.77381,1.2918,0.811,0.76992,0.78901,0.49348,1.29074,0.85354,1.56531,0.0045748,0.0045748,0.0045748
139,6186.59,1.16372,0.76525,1.29773,0.81128,0.75879,0.78157,0.49071,1.28618,0.86915,1.57511,0.0045352,0.0045352,0.0045352
140,6230.7,1.15181,0.76456,1.29393,0.80228,0.76124,0.78351,0.49144,1.28037,0.87528,1.57061,0.0044956,0.0044956,0.0044956
141,6274.98,1.15219,0.7528,1.28336,0.8008,0.76596,0.78418,0.49547,1.26049,0.85785,1.56111,0.004456,0.004456,0.004456
142,6319.29,1.15812,0.75636,1.28969,0.80635,0.77144,0.78342,0.49589,1.27192,0.86533,1.57034,0.0044164,0.0044164,0.0044164
143,6363.41,1.13755,0.7473,1.27822,0.80404,0.77089,0.78089,0.49787,1.25707,0.86043,1.55938,0.0043768,0.0043768,0.0043768
144,6407.66,1.13703,0.75654,1.27278,0.79427,0.77171,0.78118,0.49794,1.25057,0.85227,1.55775,0.0043372,0.0043372,0.0043372
145,6451.91,1.1257,0.74429,1.26681,0.82413,0.73875,0.77856,0.5002,1.25186,0.84902,1.56309,0.0042976,0.0042976,0.0042976
146,6496.18,1.12856,0.74805,1.26811,0.80066,0.77469,0.78188,0.49835,1.25025,0.84712,1.56413,0.004258,0.004258,0.004258
147,6540.42,1.12734,0.74566,1.26394,0.8045,0.76965,0.78236,0.50125,1.24501,0.86282,1.54462,0.0042184,0.0042184,0.0042184
148,6584.65,1.12817,0.73462,1.2751,0.79065,0.78434,0.78269,0.50223,1.23919,0.85006,1.54316,0.0041788,0.0041788,0.0041788
149,6628.9,1.12438,0.74224,1.26716,0.82056,0.76797,0.78495,0.50109,1.24014,0.83984,1.53773,0.0041392,0.0041392,0.0041392
150,6673.17,1.11357,0.72589,1.2619,0.81113,0.77908,0.78397,0.50157,1.23829,0.83039,1.54194,0.0040996,0.0040996,0.0040996
151,6717.37,1.10991,0.73529,1.25329,0.80508,0.76973,0.78606,0.50351,1.23879,0.83834,1.55057,0.00406,0.00406,0.00406
152,6761.63,1.10681,0.72921,1.25633,0.83091,0.76563,0.78432,0.50653,1.23199,0.83861,1.53864,0.0040204,0.0040204,0.0040204
153,6805.92,1.0975,0.72668,1.25055,0.8199,0.77499,0.78859,0.50722,1.22656,0.83383,1.55376,0.0039808,0.0039808,0.0039808
154,6850.08,1.09903,0.71866,1.24776,0.81158,0.77265,0.78923,0.50806,1.21921,0.83091,1.54261,0.0039412,0.0039412,0.0039412
155,6894.25,1.10703,0.72985,1.25548,0.83015,0.75862,0.78225,0.50227,1.22755,0.83424,1.55084,0.0039016,0.0039016,0.0039016
156,6938.48,1.09512,0.71153,1.24025,0.82192,0.7557,0.7824,0.50406,1.22845,0.83755,1.54195,0.003862,0.003862,0.003862
157,6982.69,1.07283,0.70581,1.23455,0.82413,0.77505,0.78675,0.50645,1.22695,0.82627,1.54894,0.0038224,0.0038224,0.0038224
158,7026.83,1.0865,0.71892,1.24644,0.83135,0.76563,0.78802,0.51142,1.22457,0.82852,1.54083,0.0037828,0.0037828,0.0037828
159,7070.98,1.06744,0.70338,1.23249,0.83587,0.76797,0.78992,0.51459,1.22181,0.8139,1.53752,0.0037432,0.0037432,0.0037432
160,7115.17,1.07846,0.7113,1.23127,0.83229,0.76279,0.79045,0.51543,1.20689,0.81754,1.52521,0.0037036,0.0037036,0.0037036
161,7159.3,1.07443,0.70463,1.23388,0.83552,0.77189,0.7975,0.52086,1.19761,0.79602,1.5201,0.003664,0.003664,0.003664
162,7203.42,1.07533,0.699,1.22978,0.82643,0.77916,0.79682,0.52375,1.20205,0.79986,1.52859,0.0036244,0.0036244,0.0036244
163,7247.56,1.06023,0.70187,1.22665,0.83164,0.77949,0.79765,0.51777,1.20508,0.80485,1.53031,0.0035848,0.0035848,0.0035848
164,7291.65,1.05509,0.69207,1.21679,0.82495,0.785,0.79479,0.52134,1.20247,0.81156,1.52992,0.0035452,0.0035452,0.0035452
165,7335.81,1.0441,0.67834,1.21619,0.83819,0.77809,0.79644,0.52061,1.20144,0.80632,1.52604,0.0035056,0.0035056,0.0035056
166,7380.01,1.05598,0.69612,1.22347,0.82761,0.78375,0.79533,0.52276,1.18678,0.81042,1.51402,0.003466,0.003466,0.003466
