epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,7990.21,0.61296,0.41656,0.90985,0.86817,0.77674,0.81866,0.65981,0.78051,0.61817,1.17345,0.0004457,0.0004457,0.0004457
159,8040.79,0.58986,0.40335,0.89978,0.87492,0.77673,0.82077,0.65841,0.7815,0.61711,1.17198,0.0004358,0.0004358,0.0004358
160,8091.37,0.60179,0.41186,0.90153,0.87239,0.77516,0.82248,0.66459,0.77757,0.61824,1.16735,0.0004259,0.0004259,0.0004259
161,8141.95,0.59694,0.40962,0.89811,0.87072,0.7755,0.82357,0.66303,0.7755,0.60916,1.16156,0.000416,0.000416,0.000416
162,8192.51,0.60187,0.40613,0.90473,0.86082,0.782,0.82588,0.66925,0.77456,0.60172,1.16039,0.0004061,0.0004061,0.0004061
163,8243.2,0.59302,0.40742,0.90103,0.86636,0.78025,0.82678,0.67452,0.75979,0.59969,1.15132,0.0003962,0.0003962,0.0003962
164,8293.91,0.58697,0.40567,0.89838,0.86405,0.78667,0.82658,0.67351,0.76051,0.60594,1.15511,0.0003863,0.0003863,0.0003863
165,8344.55,0.58095,0.39875,0.89493,0.87225,0.78141,0.82582,0.6712,0.76078,0.60409,1.16019,0.0003764,0.0003764,0.0003764
166,8395.19,0.58734,0.40922,0.90337,0.8682,0.78025,0.82337,0.66863,0.76027,0.59902,1.16769,0.0003665,0.0003665,0.0003665
167,8445.9,0.5882,0.40726,0.90119,0.86966,0.77995,0.82399,0.66801,0.7667,0.59939,1.17597,0.0003566,0.0003566,0.0003566
168,8496.51,0.58698,0.40562,0.90061,0.87691,0.7786,0.82858,0.67566,0.76193,0.60403,1.16937,0.0003467,0.0003467,0.0003467
169,8547.2,0.58027,0.40052,0.89576,0.86935,0.78843,0.82865,0.67467,0.75993,0.60114,1.16838,0.0003368,0.0003368,0.0003368
170,8597.81,0.58219,0.40383,0.89426,0.87249,0.77984,0.82342,0.67429,0.75707,0.60132,1.16365,0.0003269,0.0003269,0.0003269
171,8648.38,0.5783,0.40072,0.89802,0.86631,0.78551,0.82509,0.67367,0.75649,0.60045,1.16671,0.000317,0.000317,0.000317
172,8698.98,0.58043,0.40201,0.89782,0.86232,0.78726,0.82387,0.67136,0.75514,0.60216,1.16755,0.0003071,0.0003071,0.0003071
173,8749.63,0.57051,0.39828,0.89216,0.87353,0.77382,0.82164,0.6741,0.75356,0.60368,1.1641,0.0002972,0.0002972,0.0002972
174,8800.35,0.58531,0.40379,0.89895,0.87262,0.77206,0.81998,0.67167,0.75052,0.60363,1.15957,0.0002873,0.0002873,0.0002873
175,8850.98,0.56785,0.39061,0.89212,0.87333,0.77849,0.82176,0.67248,0.74965,0.59926,1.16249,0.0002774,0.0002774,0.0002774
176,8901.57,0.56287,0.38898,0.89586,0.87537,0.77997,0.82301,0.67183,0.74805,0.60196,1.16129,0.0002675,0.0002675,0.0002675
177,8952.11,0.56095,0.3892,0.88999,0.87267,0.78258,0.82279,0.67335,0.74752,0.59394,1.16336,0.0002576,0.0002576,0.0002576
178,9002.71,0.56593,0.39532,0.89459,0.87203,0.78062,0.82366,0.67487,0.74776,0.59701,1.16212,0.0002477,0.0002477,0.0002477
179,9053.19,0.56532,0.39131,0.89311,0.87552,0.77692,0.82435,0.67408,0.74261,0.60511,1.15742,0.0002378,0.0002378,0.0002378
180,9103.73,0.55799,0.39005,0.89345,0.87365,0.77589,0.82552,0.6753,0.74215,0.59549,1.16127,0.0002279,0.0002279,0.0002279
181,9154.28,0.55486,0.38996,0.88834,0.87781,0.77254,0.82753,0.67766,0.73786,0.59053,1.1567,0.000218,0.000218,0.000218
